Plant Name,Family,Common Name,Uses,Image File
Rumex scutatus L.,POLYGONACEAE,Ambavati,"Leaf juice is an antiscorbutic. Herb is refrigerant and astringent, given in dysentery.",Rumex_scutatus_L..jpg
Rungia parviflora (Retz.) Nees,ACANTHACEAE,Moto khadsalyo (Guj.),Pounded leaves is applied in contusions and Roots have febrifugic properties.,Rungia_parviflora_Retz._Nees.jpg
Rungia repens (L.) Nees,ACANTHACEAE,Kharmor,Dried herb used in treating cough and cold and fresh pounded leaves applied to scalp infections.,Rungia_repens_L._Nees.jpg
Ruta graveolens L.,RUTACEAE,Garden Rue (Eng.),"It has anthelmintic, antispasmodic, antiepileptic, rubefacient, and emmenagoguic properties.",Ruta_graveolens_L..jpg
Saccharum bengalense Retz.,POACEAE,Kans,"Roots used in dysentery, strangury, boils, eye diseases etc.",Saccharum_bengalense_Retz..jpg
Saccharum spontaneum L.,POACEAE,"Kans, Kas",Root is used as a galactagogue and diuretic.,Saccharum_spontaneum_L..jpg
Sageraea laurifolia (Grah.) Blatter,ANNONACEAE,"Sageree, Harkinjal (Mar.)",Leaves used for treating rheumatism.,Sageraea_laurifolia_Grah._Blatter.jpg
Sagittaria sagittifolia L.,ALISMATACEAE,"Chhoto-kut, Muya Muya (Beng.)","Tubers used for cutaneous troubles. Leaves powder used for relief from itch, sore throat and inflammation of the breast.",Sagittaria_sagittifolia_L..jpg
Salacia chinensis L.,CELASTRACEAE,"Saptrangi, Dimal (Beng.)","Roots used in diabetes. Also used for amenorrhoea,
dysmenorrhoea and genito-urinary and venereal diseases.",Salacia_chinensis_L..jpg
Salacia oblonga Wall.,CELASTRACEAE,Chundan (Tam.),"Root bark used for the treatment rheumatism; also for
gonorrhoea, swellings and skin
diseases. Plant mildly antiseptic.",Salacia_oblonga_Wall..jpg
Salacia reticulata Wight,CELASTRACEAE,"Saptarangi, Etanayakam (Sans.)","Plant mild antiseptic. Root bark used against gonorrhoea, skin diseases and inflammations. The root bark exhibits hypoglycaemic activity.",Salacia_reticulata_Wight.jpg
Salicornia brachiata Roxb.,CHENOPODIACEAE,Muchul (Guj.),The whole plant produces a medicine used for abortion.,Salicornia_brachiata_Roxb..jpg
Salix acmophylla Boiss.,SALICACEAE,"Bada, Bed",Decoction of bark is used as febrifuge.,Salix_acmophylla_Boiss..jpg
Salix babylonica L.,SALICACEAE,Attuppalai (Tel.),Catkins and young twigs are used as an antipyretic. Infusion of leaves are used in treating rheumatism.,Salix_babylonica_L..jpg
Salix caprea L.,SALICACEAE,Bedmushk,"Decoction of leaves are used as febrifuge. Bark and twigs are used in astringent
 applications for piles. Ashes of wood in hemoptysis and mixed with vinegar and applied to piles.",Salix_caprea_L..jpg
Salix tetrasperma Roxb.,SALICACEAE,"Bod, Bent","Dried leaves are mixed with sugar and are given for rheumatism, epilepsy, venereal diseases, stones in bladder, piles, swellings. Bark is used as febrifuge.",Salix_tetrasperma_Roxb..jpg
Salsola baryosma (R.& S.) Dandy,CHENOPODIACEAE,Ellakura (Tel.),Ashes of the plant are applied in itching.,Salsola_baryosma_R.&_S._Dandy.jpg
Salsola kali L.,CHENOPODIACEAE,Sajjibuti (Punjab),"Plant is anthelmintic, diuretic, emmenagogue  and cathartic.",Salsola_kali_L..jpg
Salvadora oleoides Decne.,SALVADORACEAE,"Bahapilu, Chootapilu","Leaves are used for relief in cough. 
Fruits are used for enlarged spleen ,low fever, and rheumatism. 
Root-bark is used as a vesicant. 
It is also used for rheumatic pains and in suppositories, and forms an ointment base.",Salvadora_oleoides_Decne..jpg
Salvadora persica L.,SALVADORACEAE,"Jhak, Kharjal","The decoction of roots is used as a tonic and emmenagogue. Stem and bark is used for gastric troubles and as an ascarifuge.The decoction of leaves used in cough and asthma, their poultice used for treatment of piles and tumours. Fruits are lithontriptic, diuretic, deobstruent,carminative, and stomachic and are used in biliousness and rheumatism.  A fatty oil applied on rheumatic swellings is obtained from the seeds.",Salvadora_persica_L..jpg
Salvia aegyptica L.,LAMIACEAE,Tukham malanga (Punjab),Seeds are used for treating diarrhoea and hemorrhoids.,Salvia_aegyptica_L..jpg
Salvia moorcroftiana Wall. ex Benth.,LAMIACEAE,"Thuth, Kali jarri (Punjab)","Leaves applied to boils, wounds, and chronic skin infections. Seeds are employed in colic, dysentery, and hemorrhoids.",Salvia_moorcroftiana_Wall._ex_Benth..jpg
Salvia officinalis L.,LAMIACEAE,Salvia sefakuss,Used in treating gynocological problem.,Salvia_officinalis_L..jpg
Salvia plebeia R.Br.,LAMIACEAE,Kaka-buradi (Beng.),"Used in treating menorrhagia,diarrhoea, and hemorrhoids",Salvia_plebeia_R.Br..jpg
Samadera indica Gaertn.,SIMAROUBACEAE,"Nibam, Mepa, Karinjottei (Tam.)",Bark juice used in treating skin infections.,Samadera_indica_Gaertn..jpg
Sambucus nigra L.,CAPRIFOLIACEAE,European or Black Elder (Eng.),"Leaf decoction has laxative, diuretic, and diaphoretic properties. Roots are emetic and diuretic. Fruit extract is used in treatment of  colds, inflamed throat, gout, rheumatism, and neuralgia.",Sambucus_nigra_L..jpg
Sambucus wightiana Wall. ex Wight & Arn.,CAPRIFOLIACEAE,Richhkas (Punjab),"The roots, berries and leaves of the plant is used as a purgative and in dropsy.
Root or inner bark decoction is an effective diuretic. Leaves are diaphoretic, expectorant,  and diuretic.",Sambucus_wightiana_Wall._ex_Wight_&_Arn..jpg
Sandoricum indicum Cav.,MELIACEAE,Sayai (Tam.),Roots used in treating diarrhoea and dysentery.,Sandoricum_indicum_Cav..jpg
Santaloides minus Schellenb.,CONNARACEAE,"Kalavidhara, Vidhara","Roots and twigs used as a bitter tonic and for rheumatism, scurvy, pulmonary complaints, and diabetes; also used as a mild aperient and in external applications for ulcers and skin troubles.",Santaloides_minus_Schellenb..jpg
Santalum album L.,SANTALACEAE,"Safed chandan, Sandal","Both the wood and oil are diuretic, diaphoretic, and expectorant.",Santalum_album_L..jpg
Sapindus mukorossi Gaertn.,SAPINDACEAE,"Ritha, Reetha","Fruits emetic and expectorant; used in excessive salivation, chlorosis and epilepsy.",Sapindus_mukorossi_Gaertn..jpg
Sapindus trifoliatus L.,SAPINDACEAE,"Reetha, Ritha","Fruit Pulp aqueous solution used as nasal drops in migraine, epilepsy and hysteria. Root used for gout, rheumatism and paralysis.",Sapindus_trifoliatus_L..jpg
Sapium indicum Willd.,EUPHORBIACEAE,Hurna,The  root-bark decotion is considered of having emetic and purgative properties  and it is also utilized in hydrophobia and insanity.,Sapium_indicum_Willd..jpg
Sapium insigne (Royle) Benth.,EUPHORBIACEAE,"Khinna, Khirun",The milky juice of the plant is having acrid and vesicant qualities.,Sapium_insigne_Royle_Benth..jpg
Sapium sebiferum (L.) Roxb.,EUPHORBIACEAE,"Pippalyang, Vilayati-shisham","The oil is considered of having vulnerary, emetic and purgative properties and is utilized for cutaneous problems. The root bark decotion is prescibed  in dyspepsia also used as a tonic. The  resin obtained from the bark is having purgative properties.",Sapium_sebiferum_L._Roxb..jpg
Saprosma ternatum Benth. & Hook.f.,RUBIACEAE,Bhedeli (Assam),Leaves are useful for relieving stomach pain and flatulance.,Saprosma_ternatum_Benth._&_Hook.f..jpg
Saraca indica L.,CAESALPINIACEAE,"Asok, Ashoka","Flowers use as pounded and mixed with water, used in haemorrhagic dysentery, bleeding piles and retention of urine.",Saraca_indica_L..jpg
Sarcococca saligna Muell.Arg.,EUPHORBIACEAE,Sukat sing (Kumaun),Leaves of the plant is utilized for rheumatism and as febrifuge.,Sarcococca_saligna_Muell.Arg..jpg
Sarcostemma acidum (Roxb.) Voigt.,ASCLEPIADACEAE,Somlata,Dried stems  are emetic. Infusion of roots is given to persons bitten by rabid dogs.,Sarcostemma_acidum_Roxb._Voigt..jpg
Sarcostemma brunonianum Wight & Arn.,ASCLEPIADACEAE,Muroakiriya (Sinhalese),Dried stems  are emetic. Infusion of roots is given to persons bitten by rabid dogs.,Sarcostemma_brunonianum_Wight_&_Arn..jpg
Sarcostemma intermedium Decne.,ASCLEPIADACEAE,Phok (Mar.),Dried stems  are emetic. Infusion of roots is given to persons bitten by rabid dogs.,Sarcostemma_intermedium_Decne..jpg
Sarcostigma kleinii Wight & Arn.,ICACINACEAE,Ingudi (Sans.),Fruits used in rheumatism and bark in leprosy and hysteria.,Sarcostigma_kleinii_Wight_&_Arn..jpg
Satureja hortensis L.,LAMIACEAE,Summer Savory (Eng.),"The plant is having carminative, digestive, diuretic, laxative, stomachic, sudorific, and vermifuge properties. It is employed in menstrual suppression and flatulent colic. A tea prepared from the leaves is given as an expectorant and carminative. An essential oil- Oil of Savory is obtained from the herb which is used for the same purposes as the herb which possesses antibacterial and antifungal activity",Satureja_hortensis_L..jpg
Sauromatum venosum (Aiton) Kunth,ARACEAE,Nurki (Mar.),Tubers used as  stimulating poultice.,Sauromatum_venosum_Aiton_Kunth.jpg
Sauropus androgynus (L.) Merr.,EUPHORBIACEAE,Thavasai murungai (Tam.),Plant is known for its high vitamin content and called Multivitamin Green. Decoction of roots given in stricture of the bladder and in fevers,Sauropus_androgynus_L._Merr..jpg
Sauropus quadrangularis (Willd.) Müll.Arg.,EUPHORBIACEAE,Tellavusirika (Tel.),For the cure of tonsillitis the  smoke of dried leaves are utilized.,Sauropus_quadrangularis_Willd._Müll.Arg..jpg
Saussurea affinis Spreng. ex DC.,ASTERACEAE,Gangamula (Assam),Juice of the roots are a common ingredient of medicines used for female troubles.,Saussurea_affinis_Spreng._ex_DC..jpg
Saussurea auriculata (Spreng. ex DC.) Sch.Bip.,ASTERACEAE,Kut,Leaves are purgative and antisyphilitic.,Saussurea_auriculata_Spreng._ex_DC._Sch.Bip..jpg
Saussurea heteromalla (D.Don) Hand.-Mazz.,ASTERACEAE,Batula (Punjab),Seeds are used as a carminative. Crushed leaves are applied to wounds,Saussurea_heteromalla_D.Don_Hand.-Mazz..jpg
Saussurea lappa (Decne.) Sch.Bip.,ASTERACEAE,"Kut, Kur","Roots are tonic, stomachic, carminative, and stimulant. It is used as a spasmodic in asthma and cough, and in treating  rheumatism
and chronic skin diseases.  Alcoholic extract of roots, containing both the essential oil and alkaloid, has been found effective in bronchial
asthma particularly of vagotonic type.",Saussurea_lappa_Decne._Sch.Bip..jpg
Saussurea obvallata (DC.) Sch.Bip.,ASTERACEAE,Kanwal (Punjab),Roots are used in preparations applied to wounds and cuts.,Saussurea_obvallata_DC._Sch.Bip..jpg
Scaevola taccada (Gaertn.) Roxb.,GOODENIACEAE,Bhadrak (Mar.),"Leaves are used in treating indigestion, tumours and swollen legs. Fruits used
for eye troubles, inducing menstruation. Root decoction used in dysentery.",Scaevola_taccada_Gaertn._Roxb..jpg
Schima wallichii (DC.) Korth.,THEACEAE,"Chilauni, Kanak",Plant is used as anthelmintic and rubefacient,Schima_wallichii_DC._Korth..jpg
Schleichera oleosa (Lour.) Oken,SAPINDACEAE,Kusum,"Seed oil used for massage in rheumatism and applied in alopecia, itch and acne; stimulates hair growth.",Schleichera_oleosa_Lour._Oken.jpg
Schrebera swietenioides Roxb.,OLEACEAE,"Moka, Banpalas","Leaves are used in treatment of spleen enlargement and urinary discharges. Roots are 
used in treatment of leprosy and bark in treatment of boils.",Schrebera_swietenioides_Roxb..jpg
Schweinfurthia papilionacea (Burm.f.) Boiss.,SCROPHULARIACEAE,"Nepal nimb, Sanipat",Used in controlling fevers and has diuretic properties.,Schweinfurthia_papilionacea_Burm.f._Boiss..jpg
Scilla hyacinthina (Roth) Macbridge,LILIACEAE,Safedi-khus,"Used as an expectorant, diuretic and cardiac stimulant.",Scilla_hyacinthina_Roth_Macbridge.jpg
Scindapsus officinalis (Roxb.) Schott,ARACEAE,"Gajapipal, Pippal-jhanca","Fruits stimulant, diaphoretic, carminative and anthelmintic, diarrhoea, asthma. Fruits as well as shoots show hypoglycaemic activity and the former also show antiprotozoal activity.",Scindapsus_officinalis_Roxb._Schott.jpg
Scirpus articulatus L.,CYPERACEAE,Chichora,Tubers given to stop diarrhoea and vomiting.,Scirpus_articulatus_L..jpg
Scirpus grossus L.f.,CYPERACEAE,"Kasuru, Kesur","Tubers are nutritious, diuretic, and astringent, used in diarrhoea and to stop vomiting.",Scirpus_grossus_L.f..jpg
Scirpus lacustris L.,CYPERACEAE,Great Bulrush (Eng.),Rhizomes used as astringent and diuretic and suspected of poisoning cattle.,Scirpus_lacustris_L..jpg
Scirpus maritimus L.,CYPERACEAE,Saltmarsh buirush (Eng.),Tubers used as laxative.,Scirpus_maritimus_L..jpg
Scleria levis Retz.,CYPERACEAE,Nutrushes (Eng.),Fruits useful in coughs. Rhizome used for stomach disorders.,Scleria_levis_Retz..jpg
Scleria lithosperma (L.) Sw.,CYPERACEAE,Nakkupullu (Malayalam),Plant antinephritic. Young tops given to children with enlarged stomach. Decoction of roots given after parturition.,Scleria_lithosperma_L._Sw..jpg
Scoparia dulcis L.,SCROPHULARIACEAE,Jastimadhu (Santal),"The leaves infusion is employed in bronchitis, cough and feve and also prepared gargle for toothache.The plant  decoction is utilized for gravel and other renal troubles. From the leaves stems of green plants amellin-an antidiabetic compound is obtained which is beneficial in anaemia, albuminaria, ketonuria, retinitis, and other problems related with diabetes mellitus.",Scoparia_dulcis_L..jpg
Scutellaria discolor Wall. ex Benth.,LAMIACEAE,Daampaate (Nepali),Employed in rheumatism.,Scutellaria_discolor_Wall._ex_Benth..jpg
Scutellaria galericulata L.,LAMIACEAE,Common Skullcap (Eng.),"It has laxative, febrifuge, antispasmodic, nervine, anodyne, and stomachic properties and is employed in epilepsy, intermittent fever, and ague.",Scutellaria_galericulata_L..jpg
Sebastiania chamaelea(L.) Muell.Arg.,EUPHORBIACEAE,Bhuierendi (Konkan),The decoction of the plant is prescribed  with ghee as a tonic. It is also applied to head in vertigo. The juice  of the plant is employed in diarrhoea.,Sebastiania_chamaeleaL._Muell.Arg..jpg
Secamone emetica (Retz.) R.Br. ex Sm.,EUPHORBIACEAE,Shadaburi (Beng.),"Roots are acrid, emetic.",Secamone_emetica_Retz._R.Br._ex_Sm..jpg
Securinega leucopyrus (Willd.) Müll.Arg.,EUPHORBIACEAE,"Hartho, Ainta",The leaves juice or its paste is utilized along with tobacco to kill worms in the sores.,Securinega_leucopyrus_Willd._Müll.Arg..jpg
Securinega virosa (Roxb. ex Willd.) Baill.,EUPHORBIACEAE,"Dalme, Patala",The roots of the plant is having analgesic and aphrodisiac properties. The juice of the leaf is used for killing the worms in the sores. The decoction of leaves is given as a laxative and antipyretic.,Securinega_virosa_Roxb._ex_Willd._Baill..jpg
Sedum multicaule Wall. ex Lindl.,CRASSULACEAE,Multi-Stem Sedum (Eng.),It is emollient and vulnerary.,Sedum_multicaule_Wall._ex_Lindl..jpg
Semecarpus anacardium L.f.,ANACARDIACEAE,"Bhela, Bhilawa","Toxic drug, used only after
curing. Fruit used in rheumatoid arthritis and for the treatment of tumours and malignant growths.",Semecarpus_anacardium_L.f..jpg
Senecio bhutanicus N.P.Balakr.,ASTERACEAE,Lemon Bean Bush (Eng.),Seeds are used for colic.,Senecio_bhutanicus_N.P.Balakr..jpg
Senecio chrysanthemoides DC.,ASTERACEAE,Cheerful Senecio (Eng.),"Flowers are crushed and applied on wounds as an antiseptic. Root powder is used against rheumaticpain. Infusion of roots is used in treating indigestion. Plant is used as poultice, ointment/lotion is applied to relieve pain and inflammation.The lotion is a good pain reliever of rheumatism,rheumatoid arthritis and neuralgic pain such as sciatica.",Senecio_chrysanthemoides_DC..jpg
Senecio jacquemontianus (Decne.) Benth. ex Hook.f.,ASTERACEAE,Poshkar (Kashmir),Root is used as a nervine tonic and for cutaneous troubles.,Senecio_jacquemontianus_Decne._Benth._ex_Hook.f..jpg
Senecio tenuifolius Burm.f.,ASTERACEAE,Katimera (Tel.),Leaves are emollient and vulnerary.,Senecio_tenuifolius_Burm.f..jpg
Senecio vulgaris L.,ASTERACEAE,Groundsel (Eng.),"It is used in treatment of dysmenorrhoea and amenorrhoea and also act as adiaphoretic, diuretic, and tonic. Infusion is used as a lotion in chronic mastitis,hemorrhoids, and gout. Its extract is  given in colic and as a vermifuge. Decoction is purgative and emetic.",Senecio_vulgaris_L..jpg
Sesamum orientale L.,PEDALIACEAE,Til,"Fresh leaves are used in treating infections of kidneys and Bladder. It is applied externally applied to cure ophthalmic and cutaneous complaints.It is emollient, lactagogue, and diuretic.",Sesamum_orientale_L..jpg
Sesbania bispinosa (Jacq.) W.Wight,FABACEAE,Ikkada,Plant used for treating wounds. Seeds used externally in ringworm and skin diseases.,Sesbania_bispinosa_Jacq._W.Wight.jpg
Sesbania grandiflora (L.) Poir.,FABACEAE,"Bak, Agasti","Plant astringent, antihistaminic,febrifuge. Used for intermittent fevers, catarrh, cough, consumption, glandular enlargement.",Sesbania_grandiflora_L._Poir..jpg
Sesbania sesban (L.) Merr.,FABACEAE,"Jainti, Jait","Leaves antiinflammatory. Bark juice applied to cutaneous eruptions. Unsaponifiable matter of fixed oil from seeds cardiac depressant, antibacterial. Seed and bark  used in menorrhagia, spleen enlargement and diarrhoea.",Sesbania_sesban_L._Merr..jpg
Seseli diffusum (Roxb. ex Sm.) Santapau & Wagh,APIACEAE,Vanayamani (Sans.),"Plants are used for mental disorders. Roots used as well as aerial parts yield volatile oils. Volatile oil obtained from aerial parts causes a fall in blood pressure, vasoconstriction aud stimulation of respiration.",Seseli_diffusum_Roxb._ex_Sm._Santapau_&_Wagh.jpg
